"Echantillon";"AUC";"Espece";"Model";"Type";"blocs"
3;0,5208158;"A. leiocarpus";"Non";"RF";"Sans blocs"
4;0,5137791;"A. leiocarpus";"Non";"RF";"Sans blocs"
5;0,5023121;"A. leiocarpus";"Non";"RF";"Sans blocs"
1;0,5127128;"A. leiocarpus";"Oui";"RF";"Sans blocs"
2;0,5217029;"A. leiocarpus";"Oui";"RF";"Sans blocs"
3;0,5237504;"A. leiocarpus";"Oui";"RF";"Sans blocs"
4;0,5105089;"A. leiocarpus";"Oui";"RF";"Sans blocs"
5;0,5045994;"A. leiocarpus";"Oui";"RF";"Sans blocs"
1;0,4571134;"A. digitata";"Non";"RF";"Sans blocs"
2;0,494689;"A. digitata";"Non";"RF";"Sans blocs"
3;0,4969368;"A. digitata";"Non";"RF";"Sans blocs"
4;0,4975237;"A. digitata";"Non";"RF";"Sans blocs"
5;0,5058041;"A. digitata";"Non";"RF";"Sans blocs"
1;0,47247;"A. digitata";"Oui";"RF";"Sans blocs"
2;0,4976788;"A. digitata";"Oui";"RF";"Sans blocs"
3;0,4893893;"A. digitata";"Oui";"RF";"Sans blocs"
4;0,4883114;"A. digitata";"Oui";"RF";"Sans blocs"
5;0,4938606;"A. digitata";"Oui";"RF";"Sans blocs"
1;0,4649564;"A. nilotica";"Non";"RF";"Sans blocs"
2;0,4957523;"A. nilotica";"Non";"RF";"Sans blocs"
3;0,5081523;"A. nilotica";"Non";"RF";"Sans blocs"
4;0,5245776;"A. nilotica";"Non";"RF";"Sans blocs"
5;0,5278314;"A. nilotica";"Non";"RF";"Sans blocs"
1;0,476834;"A. nilotica";"Oui";"RF";"Sans blocs"
2;0,4877007;"A. nilotica";"Oui";"RF";"Sans blocs"
3;0,5038066;"A. nilotica";"Oui";"RF";"Sans blocs"
4;0,519404;"A. nilotica";"Oui";"RF";"Sans blocs"
5;0,5291796;"A. nilotica";"Oui";"RF";"Sans blocs"
1;0,592983032478228;"F. albida";"Non";"SVM";"Avec blocs"
2;0,615767514250319;"F. albida";"Non";"SVM";"Avec blocs"
3;0,605208075504084;"F. albida";"Non";"SVM";"Avec blocs"
4;0,604132173951935;"F. albida";"Non";"SVM";"Avec blocs"
5;0,599641707875134;"F. albida";"Non";"SVM";"Avec blocs"
1;0,589701504480206;"F. albida";"Oui";"SVM";"Avec blocs"
2;0,623932797898967;"F. albida";"Oui";"SVM";"Avec blocs"
3;0,61594318750963;"F. albida";"Oui";"SVM";"Avec blocs"
4;0,600665016542162;"F. albida";"Oui";"SVM";"Avec blocs"
5;0,596104948857383;"F. albida";"Oui";"SVM";"Avec blocs"
1;0,59863909722895;"B. aegyptiaca";"Non";"SVM";"Avec blocs"
2;0,623569171284505;"B. aegyptiaca";"Non";"SVM";"Avec blocs"
3;0,616183829198905;"B. aegyptiaca";"Non";"SVM";"Avec blocs"
4;0,611352222938023;"B. aegyptiaca";"Non";"SVM";"Avec blocs"
5;0,59249082633917;"B. aegyptiaca";"Non";"SVM";"Avec blocs"
1;0,596684074067343;"B. aegyptiaca";"Oui";"SVM";"Avec blocs"
2;0,59796805693135;"B. aegyptiaca";"Oui";"SVM";"Avec blocs"
3;0,572938634973811;"B. aegyptiaca";"Oui";"SVM";"Avec blocs"
4;0,608164272501573;"B. aegyptiaca";"Oui";"SVM";"Avec blocs"
5;0,585590590213651;"B. aegyptiaca";"Oui";"SVM";"Avec blocs"
1;0,611283028103817;"A. leiocarpus";"Non";"SVM";"Avec blocs"
2;0,612007540167516;"A. leiocarpus";"Non";"SVM";"Avec blocs"
3;0,542396272938179;"A. leiocarpus";"Non";"SVM";"Avec blocs"
4;0,586882002254338;"A. leiocarpus";"Non";"SVM";"Avec blocs"
5;0,578594668677691;"A. leiocarpus";"Non";"SVM";"Avec blocs"
1;0,607981261393412;"A. leiocarpus";"Oui";"SVM";"Avec blocs"
2;0,586102536285154;"A. leiocarpus";"Oui";"SVM";"Avec blocs"
3;0,591280894084558;"A. leiocarpus";"Oui";"SVM";"Avec blocs"
4;0,605978764804226;"A. leiocarpus";"Oui";"SVM";"Avec blocs"
5;0,590219116624369;"A. leiocarpus";"Oui";"SVM";"Avec blocs"
1;0,594302082323673;"A. digitata";"Non";"SVM";"Avec blocs"
2;0,603228344047512;"A. digitata";"Non";"SVM";"Avec blocs"
3;0,606710545356449;"A. digitata";"Non";"SVM";"Avec blocs"
4;0,620432028239146;"A. digitata";"Non";"SVM";"Avec blocs"
5;0,567432397674533;"A. digitata";"Non";"SVM";"Avec blocs"
1;0,6209025960389;"A. digitata";"Oui";"SVM";"Avec blocs"
2;0,5521642264535;"A. digitata";"Oui";"SVM";"Avec blocs"
3;0,616538922257318;"A. digitata";"Oui";"SVM";"Avec blocs"
4;0,602582619965213;"A. digitata";"Oui";"SVM";"Avec blocs"
5;0,607813652473551;"A. digitata";"Oui";"SVM";"Avec blocs"
1;0,627969073672179;"A. nilotica";"Non";"SVM";"Avec blocs"
2;0,604223790154418;"A. nilotica";"Non";"SVM";"Avec blocs"
3;0,587819316673662;"A. nilotica";"Non";"SVM";"Avec blocs"
4;0,526652415428158;"A. nilotica";"Non";"SVM";"Avec blocs"
5;0,592342363201862;"A. nilotica";"Non";"SVM";"Avec blocs"
1;0,611461343310828;"A. nilotica";"Oui";"SVM";"Avec blocs"
2;0,614113648748589;"A. nilotica";"Oui";"SVM";"Avec blocs"
3;0,603847822634618;"A. nilotica";"Oui";"SVM";"Avec blocs"
4;0,537772159999228;"A. nilotica";"Oui";"SVM";"Avec blocs"
5;0,611498929042896;"A. nilotica";"Oui";"SVM";"Avec blocs"
1;0,498534166120999;"F. albida";"Non";"SVM";"Sans blocs"
2;0,513061539010866;"F. albida";"Non";"SVM";"Sans blocs"
3;0,496897428249336;"F. albida";"Non";"SVM";"Sans blocs"
4;0,511617799927839;"F. albida";"Non";"SVM";"Sans blocs"
5;0,496650956587144;"F. albida";"Non";"SVM";"Sans blocs"
1;0,509800233094003;"F. albida";"Oui";"SVM";"Sans blocs"
2;0,517761095626976;"F. albida";"Oui";"SVM";"Sans blocs"
3;0,500487837781918;"F. albida";"Oui";"SVM";"Sans blocs"
4;0,519215497051992;"F. albida";"Oui";"SVM";"Sans blocs"
5;0,494260742319338;"F. albida";"Oui";"SVM";"Sans blocs"
1;0,532727092200207;"B. aegyptiaca";"Non";"SVM";"Sans blocs"
2;0,511116095086331;"B. aegyptiaca";"Non";"SVM";"Sans blocs"
3;0,522165341130412;"B. aegyptiaca";"Non";"SVM";"Sans blocs"
4;0,502323622420563;"B. aegyptiaca";"Non";"SVM";"Sans blocs"
5;0,505564372761555;"B. aegyptiaca";"Non";"SVM";"Sans blocs"
1;0,508809176931395;"B. aegyptiaca";"Oui";"SVM";"Sans blocs"
2;0,500183998327309;"B. aegyptiaca";"Oui";"SVM";"Sans blocs"
3;0,517424597285157;"B. aegyptiaca";"Oui";"SVM";"Sans blocs"
4;0,497586157691476;"B. aegyptiaca";"Oui";"SVM";"Sans blocs"
5;0,497080596452691;"B. aegyptiaca";"Oui";"SVM";"Sans blocs"
1;0,4996506128617;"A. leiocarpus";"Non";"SVM";"Sans blocs"
2;0,504357117521873;"A. leiocarpus";"Non";"SVM";"Sans blocs"
3;0,516132744724912;"A. leiocarpus";"Non";"SVM";"Sans blocs"
4;0,50211709341221;"A. leiocarpus";"Non";"SVM";"Sans blocs"
5;0,488800154840447;"A. leiocarpus";"Non";"SVM";"Sans blocs"
1;0,483881317512733;"A. leiocarpus";"Oui";"SVM";"Sans blocs"
2;0,499704865216363;"A. leiocarpus";"Oui";"SVM";"Sans blocs"
3;0,497820633010578;"A. leiocarpus";"Oui";"SVM";"Sans blocs"
4;0,516102310051355;"A. leiocarpus";"Oui";"SVM";"Sans blocs"
5;0,512585911967392;"A. leiocarpus";"Oui";"SVM";"Sans blocs"
1;0,498839777225095;"A. digitata";"Non";"SVM";"Sans blocs"
2;0,502601479831681;"A. digitata";"Non";"SVM";"Sans blocs"
3;0,508739867064583;"A. digitata";"Non";"SVM";"Sans blocs"
4;0,506674417663996;"A. digitata";"Non";"SVM";"Sans blocs"
5;0,506570132208908;"A. digitata";"Non";"SVM";"Sans blocs"
1;0,493897859450114;"A. digitata";"Oui";"SVM";"Sans blocs"
2;0,4958295552582;"A. digitata";"Oui";"SVM";"Sans blocs"
3;0,487803729272188;"A. digitata";"Oui";"SVM";"Sans blocs"
4;0,486823586736388;"A. digitata";"Oui";"SVM";"Sans blocs"
5;0,484004524034698;"A. digitata";"Oui";"SVM";"Sans blocs"
1;0,483136132833713;"A. nilotica";"Non";"SVM";"Sans blocs"
2;0,501713611587114;"A. nilotica";"Non";"SVM";"Sans blocs"
3;0,512140839735738;"A. nilotica";"Non";"SVM";"Sans blocs"
4;0,485271501954533;"A. nilotica";"Non";"SVM";"Sans blocs"
5;0,504995642688609;"A. nilotica";"Non";"SVM";"Sans blocs"
1;0,492010494732269;"A. nilotica";"Oui";"SVM";"Sans blocs"
2;0,508825702451584;"A. nilotica";"Oui";"SVM";"Sans blocs"
3;0,487844173255274;"A. nilotica";"Oui";"SVM";"Sans blocs"
4;0,521278734646837;"A. nilotica";"Oui";"SVM";"Sans blocs"
5;0,509141016824557;"A. nilotica";"Oui";"SVM";"Sans blocs"
1;0,518328920363848;"C. pinnata";"Non";"bioclim";"Avec blocs"
2;0,603106551760489;"C. pinnata";"Non";"bioclim";"Avec blocs"
3;0,752992919166187;"C. pinnata";"Non";"bioclim";"Avec blocs"
4;0,69469846040094;"C. pinnata";"Non";"bioclim";"Avec blocs"
5;0,571876717894787;"C. pinnata";"Non";"bioclim";"Avec blocs"
1;0,580722819064028;"C. pinnata";"Oui";"bioclim";"Avec blocs"
2;0,607626370440649;"C. pinnata";"Oui";"bioclim";"Avec blocs"
3;0,635330553044622;"C. pinnata";"Oui";"bioclim";"Avec blocs"
4;0,713077349647598;"C. pinnata";"Oui";"bioclim";"Avec blocs"
5;0,597045818494706;"C. pinnata";"Oui";"bioclim";"Avec blocs"
1;0,672690807638098;"Azadirachta indica";"Non";"bioclim";"Avec blocs"
2;0,647035057005614;"Azadirachta indica";"Non";"bioclim";"Avec blocs"
3;0,658601971862191;"Azadirachta indica";"Non";"bioclim";"Avec blocs"
4;0,520757383479465;"Azadirachta indica";"Non";"bioclim";"Avec blocs"
5;0,70503355704698;"Azadirachta indica";"Non";"bioclim";"Avec blocs"
1;0,541826115498233;"Azadirachta indica";"Oui";"bioclim";"Avec blocs"
2;0,758201429480873;"Azadirachta indica";"Oui";"bioclim";"Avec blocs"
3;0,636723163841808;"Azadirachta indica";"Oui";"bioclim";"Avec blocs"
4;0,591405168435625;"Azadirachta indica";"Oui";"bioclim";"Avec blocs"
5;0,620654101610043;"Azadirachta indica";"Oui";"bioclim";"Avec blocs"
1;0,586374564748798;"C. pinnata";"Non";"bioclim";"Sans blocs"
2;0,542083806161476;"C. pinnata";"Non";"bioclim";"Sans blocs"
3;0,54159898861926;"C. pinnata";"Non";"bioclim";"Sans blocs"
4;0,583746234370057;"C. pinnata";"Non";"bioclim";"Sans blocs"
5;0,598403338821457;"C. pinnata";"Non";"bioclim";"Sans blocs"
1;0,608253191842149;"C. pinnata";"Oui";"bioclim";"Sans blocs"
2;0,586462404909007;"C. pinnata";"Oui";"bioclim";"Sans blocs"
3;0,586550747707068;"C. pinnata";"Oui";"bioclim";"Sans blocs"
4;0,637568262789386;"C. pinnata";"Oui";"bioclim";"Sans blocs"
5;0,612294126978049;"C. pinnata";"Oui";"bioclim";"Sans blocs"
1;0,547185437642549;"Azadirachta indica";"Non";"bioclim";"Sans blocs"
2;0,565553065533635;"Azadirachta indica";"Non";"bioclim";"Sans blocs"
3;0,5629605476219;"Azadirachta indica";"Non";"bioclim";"Sans blocs"
4;0,570687178846703;"Azadirachta indica";"Non";"bioclim";"Sans blocs"
5;0,601162253047499;"Azadirachta indica";"Non";"bioclim";"Sans blocs"
1;0,581960957757716;"Azadirachta indica";"Oui";"bioclim";"Sans blocs"
2;0,595631954609635;"Azadirachta indica";"Oui";"bioclim";"Sans blocs"
3;0,570065347298934;"Azadirachta indica";"Oui";"bioclim";"Sans blocs"
4;0,534017716956894;"Azadirachta indica";"Oui";"bioclim";"Sans blocs"
5;0,61276586801177;"Azadirachta indica";"Oui";"bioclim";"Sans blocs"
1;0,59560075506119;"C. pinnata";"Non";"domain";"Avec blocs"
2;0,547946315623023;"C. pinnata";"Non";"domain";"Avec blocs"
3;0,723650943654642;"C. pinnata";"Non";"domain";"Avec blocs"
4;0,675876832075179;"C. pinnata";"Non";"domain";"Avec blocs"
5;0,556895480293506;"C. pinnata";"Non";"domain";"Avec blocs"
1;0,704238984468037;"C. pinnata";"Oui";"domain";"Avec blocs"
2;0,61069339025933;"C. pinnata";"Oui";"domain";"Avec blocs"
3;0,564561590927767;"C. pinnata";"Oui";"domain";"Avec blocs"
4;0,593494567874733;"C. pinnata";"Oui";"domain";"Avec blocs"
5;0,581015320633858;"C. pinnata";"Oui";"domain";"Avec blocs"
1;0,781805456335798;"Azadirachta indica";"Non";"domain";"Avec blocs"
2;0,716516074425603;"Azadirachta indica";"Non";"domain";"Avec blocs"
3;0,668368127939414;"Azadirachta indica";"Non";"domain";"Avec blocs"
4;0,44633710198431;"Azadirachta indica";"Non";"domain";"Avec blocs"
5;0,504950099106305;"Azadirachta indica";"Non";"domain";"Avec blocs"
1;0,477254165620837;"Azadirachta indica";"Oui";"domain";"Avec blocs"
2;0,708605460385439;"Azadirachta indica";"Oui";"domain";"Avec blocs"
3;0,639223239372791;"Azadirachta indica";"Oui";"domain";"Avec blocs"
4;0,4851234425473;"Azadirachta indica";"Oui";"domain";"Avec blocs"
5;0,496322634488994;"Azadirachta indica";"Oui";"domain";"Avec blocs"
1;0,53594345879622;"C. pinnata";"Non";"domain";"Sans blocs"
2;0,537456394737948;"C. pinnata";"Non";"domain";"Sans blocs"
3;0,483214490682086;"C. pinnata";"Non";"domain";"Sans blocs"
4;0,531680812138053;"C. pinnata";"Non";"domain";"Sans blocs"
5;0,51706469240068;"C. pinnata";"Non";"domain";"Sans blocs"
1;0,554232299784447;"C. pinnata";"Oui";"domain";"Sans blocs"
2;0,52641673321285;"C. pinnata";"Oui";"domain";"Sans blocs"
3;0,488033167657473;"C. pinnata";"Oui";"domain";"Sans blocs"
4;0,554519443718448;"C. pinnata";"Oui";"domain";"Sans blocs"
5;0,514336584271875;"C. pinnata";"Oui";"domain";"Sans blocs"
1;0,528319067565106;"Azadirachta indica";"Non";"domain";"Sans blocs"
2;0,491156823883484;"Azadirachta indica";"Non";"domain";"Sans blocs"
3;0,524406528519016;"Azadirachta indica";"Non";"domain";"Sans blocs"
4;0,50196483371396;"Azadirachta indica";"Non";"domain";"Sans blocs"
5;0,549665825977301;"Azadirachta indica";"Non";"domain";"Sans blocs"
1;0,461473753588123;"Azadirachta indica";"Oui";"domain";"Sans blocs"
2;0,471207862136266;"Azadirachta indica";"Oui";"domain";"Sans blocs"
3;0,465236834049802;"Azadirachta indica";"Oui";"domain";"Sans blocs"
4;0,442100967028262;"Azadirachta indica";"Oui";"domain";"Sans blocs"
5;0,51963219840269;"Azadirachta indica";"Oui";"domain";"Sans blocs"
1;0,60386340773168;"C. pinnata";"Non";"GLM";"Avec blocs"
2;0,610558167787548;"C. pinnata";"Non";"GLM";"Avec blocs"
3;0,609598944904515;"C. pinnata";"Non";"GLM";"Avec blocs"
4;0,601702587327092;"C. pinnata";"Non";"GLM";"Avec blocs"
5;0,619844399615196;"C. pinnata";"Non";"GLM";"Avec blocs"
1;0,605354691075515;"C. pinnata";"Oui";"GLM";"Avec blocs"
2;0,604591324161775;"C. pinnata";"Oui";"GLM";"Avec blocs"
3;0,607955462529025;"C. pinnata";"Oui";"GLM";"Avec blocs"
4;0,594046707027975;"C. pinnata";"Oui";"GLM";"Avec blocs"
5;0,626875994655761;"C. pinnata";"Oui";"GLM";"Avec blocs"
1;0,634586223519842;"Azadirachta indica";"Non";"GLM";"Avec blocs"
2;0,615908232577854;"Azadirachta indica";"Non";"GLM";"Avec blocs"
3;0,593540617449549;"Azadirachta indica";"Non";"GLM";"Avec blocs"
4;0,59277411655064;"Azadirachta indica";"Non";"GLM";"Avec blocs"
5;0,610504724055876;"Azadirachta indica";"Non";"GLM";"Avec blocs"
1;0,619888298467708;"Azadirachta indica";"Oui";"GLM";"Avec blocs"
2;0,597786701301578;"Azadirachta indica";"Oui";"GLM";"Avec blocs"
3;0,593506085684101;"Azadirachta indica";"Oui";"GLM";"Avec blocs"
4;0,592198228903875;"Azadirachta indica";"Oui";"GLM";"Avec blocs"
5;0,600447968182499;"Azadirachta indica";"Oui";"GLM";"Avec blocs"
1;0,509423266940559;"C. pinnata";"Non";"GLM";"Sans blocs"
2;0,532092755097848;"C. pinnata";"Non";"GLM";"Sans blocs"
3;0,520977733049837;"C. pinnata";"Non";"GLM";"Sans blocs"
4;0,506136810887312;"C. pinnata";"Non";"GLM";"Sans blocs"
5;0,520303988002666;"C. pinnata";"Non";"GLM";"Sans blocs"
1;0,517627103798813;"C. pinnata";"Oui";"GLM";"Sans blocs"
2;0,529344169702536;"C. pinnata";"Oui";"GLM";"Sans blocs"
3;0,518432954406552;"C. pinnata";"Oui";"GLM";"Sans blocs"
4;0,514807447178553;"C. pinnata";"Oui";"GLM";"Sans blocs"
5;0,51893595867585;"C. pinnata";"Oui";"GLM";"Sans blocs"
1;0,504771846473156;"Azadirachta indica";"Non";"GLM";"Sans blocs"
2;0,500417761122803;"Azadirachta indica";"Non";"GLM";"Sans blocs"
3;0,506027635674864;"Azadirachta indica";"Non";"GLM";"Sans blocs"
4;0,513271187926105;"Azadirachta indica";"Non";"GLM";"Sans blocs"
5;0,508872182630588;"Azadirachta indica";"Non";"GLM";"Sans blocs"
1;0,504003390094382;"Azadirachta indica";"Oui";"GLM";"Sans blocs"
2;0,499180945516496;"Azadirachta indica";"Oui";"GLM";"Sans blocs"
3;0,497810195071585;"Azadirachta indica";"Oui";"GLM";"Sans blocs"
4;0,506112263417164;"Azadirachta indica";"Oui";"GLM";"Sans blocs"
5;0,505929338665771;"Azadirachta indica";"Oui";"GLM";"Sans blocs"
1;0,59560075506119;"C. pinnata";"Non";"mahal";"Avec blocs"
2;0,547946315623023;"C. pinnata";"Non";"mahal";"Avec blocs"
3;0,723650943654642;"C. pinnata";"Non";"mahal";"Avec blocs"
4;0,675876832075179;"C. pinnata";"Non";"mahal";"Avec blocs"
5;0,556895480293506;"C. pinnata";"Non";"mahal";"Avec blocs"
1;0,704238984468037;"C. pinnata";"Oui";"mahal";"Avec blocs"
2;0,61069339025933;"C. pinnata";"Oui";"mahal";"Avec blocs"
3;0,564561590927767;"C. pinnata";"Oui";"mahal";"Avec blocs"
4;0,593494567874733;"C. pinnata";"Oui";"mahal";"Avec blocs"
5;0,581015320633858;"C. pinnata";"Oui";"mahal";"Avec blocs"
1;0,578853319946711;"Azadirachta indica";"Non";"mahal";"Avec blocs"
2;0,750641674865444;"Azadirachta indica";"Non";"mahal";"Avec blocs"
3;0,652969878244056;"Azadirachta indica";"Non";"mahal";"Avec blocs"
4;0,571942778034149;"Azadirachta indica";"Non";"mahal";"Avec blocs"
5;0,674594011892756;"Azadirachta indica";"Non";"mahal";"Avec blocs"
1;0,621822447048829;"Azadirachta indica";"Oui";"mahal";"Avec blocs"
2;0,784765466751548;"Azadirachta indica";"Oui";"mahal";"Avec blocs"
3;0,654641630663565;"Azadirachta indica";"Oui";"mahal";"Avec blocs"
4;0,559425473004153;"Azadirachta indica";"Oui";"mahal";"Avec blocs"
5;0,682845915777028;"Azadirachta indica";"Oui";"mahal";"Avec blocs"
1;0,646196042668435;"C. pinnata";"Non";"mahal";"Sans blocs"
2;0,653940234522759;"C. pinnata";"Non";"mahal";"Sans blocs"
3;0,633961927037651;"C. pinnata";"Non";"mahal";"Sans blocs"
4;0,657050497269488;"C. pinnata";"Non";"mahal";"Sans blocs"
5;0,648683944228992;"C. pinnata";"Non";"mahal";"Sans blocs"
1;0,645342121262367;"C. pinnata";"Oui";"mahal";"Sans blocs"
2;0,654951736505135;"C. pinnata";"Oui";"mahal";"Sans blocs"
3;0,633647900897682;"C. pinnata";"Oui";"mahal";"Sans blocs"
4;0,657853831657427;"C. pinnata";"Oui";"mahal";"Sans blocs"
5;0,648528052335917;"C. pinnata";"Oui";"mahal";"Sans blocs"
1;0,755411452506699;"Azadirachta indica";"Non";"mahal";"Sans blocs"
2;0,767620503387437;"Azadirachta indica";"Non";"mahal";"Sans blocs"
3;0,770412712777992;"Azadirachta indica";"Non";"mahal";"Sans blocs"
4;0,780908774621753;"Azadirachta indica";"Non";"mahal";"Sans blocs"
5;0,756670870113493;"Azadirachta indica";"Non";"mahal";"Sans blocs"
1;0,755962137176852;"Azadirachta indica";"Oui";"mahal";"Sans blocs"
2;0,777823835986718;"Azadirachta indica";"Oui";"mahal";"Sans blocs"
3;0,776175519384591;"Azadirachta indica";"Oui";"mahal";"Sans blocs"
4;0,775484852269483;"Azadirachta indica";"Oui";"mahal";"Sans blocs"
5;0,759239176124422;"Azadirachta indica";"Oui";"mahal";"Sans blocs"
1;0,833183735779259;"C. pinnata";"Non";"MaxEnt";"Avec blocs"
2;0,659375878487596;"C. pinnata";"Non";"MaxEnt";"Avec blocs"
3;0,652626893472485;"C. pinnata";"Non";"MaxEnt";"Avec blocs"
4;0,802501699402526;"C. pinnata";"Non";"MaxEnt";"Avec blocs"
5;0,61756495136117;"C. pinnata";"Non";"MaxEnt";"Avec blocs"
1;0,752939481085464;"C. pinnata";"Oui";"MaxEnt";"Avec blocs"
2;0,753163214210415;"C. pinnata";"Oui";"MaxEnt";"Avec blocs"
3;0,704894266852932;"C. pinnata";"Oui";"MaxEnt";"Avec blocs"
4;0,760723229938106;"C. pinnata";"Oui";"MaxEnt";"Avec blocs"
5;0,681505294103588;"C. pinnata";"Oui";"MaxEnt";"Avec blocs"
1;0,790269437954936;"Azadirachta indica";"Non";"MaxEnt";"Avec blocs"
2;0,616235386885815;"Azadirachta indica";"Non";"MaxEnt";"Avec blocs"
3;0,614504466398783;"Azadirachta indica";"Non";"MaxEnt";"Avec blocs"
4;0,8328737886479;"Azadirachta indica";"Non";"MaxEnt";"Avec blocs"
5;0,707083492714817;"Azadirachta indica";"Non";"MaxEnt";"Avec blocs"
1;0,756659683741046;"Azadirachta indica";"Oui";"MaxEnt";"Avec blocs"
2;0,673913782626309;"Azadirachta indica";"Oui";"MaxEnt";"Avec blocs"
3;0,57504204558043;"Azadirachta indica";"Oui";"MaxEnt";"Avec blocs"
4;0,718868251038302;"Azadirachta indica";"Oui";"MaxEnt";"Avec blocs"
5;0,768515491880238;"Azadirachta indica";"Oui";"MaxEnt";"Avec blocs"
1;0,748965069363842;"C. pinnata";"Non";"MaxEnt";"Sans blocs"
2;0,731199652558876;"C. pinnata";"Non";"MaxEnt";"Sans blocs"
3;0,721878417741394;"C. pinnata";"Non";"MaxEnt";"Sans blocs"
4;0,73973891632392;"C. pinnata";"Non";"MaxEnt";"Sans blocs"
5;0,724611500992785;"C. pinnata";"Non";"MaxEnt";"Sans blocs"
1;0,774322942574476;"C. pinnata";"Oui";"MaxEnt";"Sans blocs"
2;0,764464338250746;"C. pinnata";"Oui";"MaxEnt";"Sans blocs"
3;0,755744512663916;"C. pinnata";"Oui";"MaxEnt";"Sans blocs"
4;0,776978417266187;"C. pinnata";"Oui";"MaxEnt";"Sans blocs"
5;0,751222520635164;"C. pinnata";"Oui";"MaxEnt";"Sans blocs"
1;0,745343028852408;"Azadirachta indica";"Non";"MaxEnt";"Sans blocs"
2;0,695212680976376;"Azadirachta indica";"Non";"MaxEnt";"Sans blocs"
3;0,698235667292191;"Azadirachta indica";"Non";"MaxEnt";"Sans blocs"
4;0,737918837425064;"Azadirachta indica";"Non";"MaxEnt";"Sans blocs"
5;0,709697351828499;"Azadirachta indica";"Non";"MaxEnt";"Sans blocs"
1;0,757358361301177;"Azadirachta indica";"Oui";"MaxEnt";"Sans blocs"
2;0,714880975512865;"Azadirachta indica";"Oui";"MaxEnt";"Sans blocs"
3;0,741756169840868;"Azadirachta indica";"Oui";"MaxEnt";"Sans blocs"
4;0,790565675849272;"Azadirachta indica";"Oui";"MaxEnt";"Sans blocs"
5;0,75431693989071;"Azadirachta indica";"Oui";"MaxEnt";"Sans blocs"
1;0,604172387490465;"C. pinnata";"Non";"RF";"Avec blocs"
2;0,611752844758985;"C. pinnata";"Non";"RF";"Avec blocs"
3;0,59590829036021;"C. pinnata";"Non";"RF";"Avec blocs"
4;0,609951853433762;"C. pinnata";"Non";"RF";"Avec blocs"
5;0,621413967631279;"C. pinnata";"Non";"RF";"Avec blocs"
1;0,601151571430151;"C. pinnata";"Oui";"RF";"Avec blocs"
2;0,613012877654612;"C. pinnata";"Oui";"RF";"Avec blocs"
3;0,597193710131325;"C. pinnata";"Oui";"RF";"Avec blocs"
4;0,612692060844785;"C. pinnata";"Oui";"RF";"Avec blocs"
5;0,626736869400902;"C. pinnata";"Oui";"RF";"Avec blocs"
1;0,628453305188729;"Azadirachta indica";"Non";"RF";"Avec blocs"
2;0,590498012474748;"Azadirachta indica";"Non";"RF";"Avec blocs"
3;0,592732034579247;"Azadirachta indica";"Non";"RF";"Avec blocs"
4;0,559831031267156;"Azadirachta indica";"Non";"RF";"Avec blocs"
5;0,609392974856965;"Azadirachta indica";"Non";"RF";"Avec blocs"
1;0,636047626605926;"Azadirachta indica";"Oui";"RF";"Avec blocs"
2;0,593139684164976;"Azadirachta indica";"Oui";"RF";"Avec blocs"
3;0,597597668242538;"Azadirachta indica";"Oui";"RF";"Avec blocs"
4;0,566930234594153;"Azadirachta indica";"Oui";"RF";"Avec blocs"
5;0,612507522138762;"Azadirachta indica";"Oui";"RF";"Avec blocs"
1;0,5147757;"C. pinnata";"Non";"RF";"Sans blocs"
