"Echantillon";"AUC";"Espece";"Model";"Type";"blocs"
2;0,517064;"C. pinnata";"Non";"RF";"Sans blocs"
3;0,5327162;"C. pinnata";"Non";"RF";"Sans blocs"
4;0,5174584;"C. pinnata";"Non";"RF";"Sans blocs"
5;0,5220895;"C. pinnata";"Non";"RF";"Sans blocs"
1;0,5148222;"C. pinnata";"Oui";"RF";"Sans blocs"
2;0,517068;"C. pinnata";"Oui";"RF";"Sans blocs"
3;0,5335355;"C. pinnata";"Oui";"RF";"Sans blocs"
4;0,5168693;"C. pinnata";"Oui";"RF";"Sans blocs"
5;0,5229177;"C. pinnata";"Oui";"RF";"Sans blocs"
1;0,5117356;"Azadirachta indica";"Non";"RF";"Sans blocs"
2;0,4970335;"Azadirachta indica";"Non";"RF";"Sans blocs"
3;0,5239375;"Azadirachta indica";"Non";"RF";"Sans blocs"
4;0,5219873;"Azadirachta indica";"Non";"RF";"Sans blocs"
5;0,5009919;"Azadirachta indica";"Non";"RF";"Sans blocs"
1;0,5141059;"Azadirachta indica";"Oui";"RF";"Sans blocs"
2;0,5019768;"Azadirachta indica";"Oui";"RF";"Sans blocs"
3;0,5255779;"Azadirachta indica";"Oui";"RF";"Sans blocs"
4;0,5222505;"Azadirachta indica";"Oui";"RF";"Sans blocs"
5;0,5070602;"Azadirachta indica";"Oui";"RF";"Sans blocs"
1;0,615107396721166;"C. pinnata";"Non";"SVM";"Avec blocs"
2;0,616771322609924;"C. pinnata";"Non";"SVM";"Avec blocs"
3;0,60416154107886;"C. pinnata";"Non";"SVM";"Avec blocs"
4;0,611719920542912;"C. pinnata";"Non";"SVM";"Avec blocs"
5;0,615381505289536;"C. pinnata";"Non";"SVM";"Avec blocs"
1;0,618537237864668;"C. pinnata";"Oui";"SVM";"Avec blocs"
2;0,617915586987551;"C. pinnata";"Oui";"SVM";"Avec blocs"
3;0,595699882068492;"C. pinnata";"Oui";"SVM";"Avec blocs"
4;0,60726944224107;"C. pinnata";"Oui";"SVM";"Avec blocs"
5;0,623567469815644;"C. pinnata";"Oui";"SVM";"Avec blocs"
1;0,645306762904687;"Azadirachta indica";"Non";"SVM";"Avec blocs"
2;0,604406329794125;"Azadirachta indica";"Non";"SVM";"Avec blocs"
3;0,597258825294087;"Azadirachta indica";"Non";"SVM";"Avec blocs"
4;0,565427128041294;"Azadirachta indica";"Non";"SVM";"Avec blocs"
5;0,619643702633436;"Azadirachta indica";"Non";"SVM";"Avec blocs"
1;0,626679512174249;"Azadirachta indica";"Oui";"SVM";"Avec blocs"
2;0,603266602187647;"Azadirachta indica";"Oui";"SVM";"Avec blocs"
3;0,605973347951781;"Azadirachta indica";"Oui";"SVM";"Avec blocs"
4;0,606630287900239;"Azadirachta indica";"Oui";"SVM";"Avec blocs"
5;0,613577116813851;"Azadirachta indica";"Oui";"SVM";"Avec blocs"
1;0,518732561290376;"C. pinnata";"Non";"SVM";"Sans blocs"
2;0,536066333659105;"C. pinnata";"Non";"SVM";"Sans blocs"
3;0,526737880564339;"C. pinnata";"Non";"SVM";"Sans blocs"
4;0,507440626659178;"C. pinnata";"Non";"SVM";"Sans blocs"
5;0,523669795600978;"C. pinnata";"Non";"SVM";"Sans blocs"
1;0,521372543116072;"C. pinnata";"Oui";"SVM";"Sans blocs"
2;0,522816530640686;"C. pinnata";"Oui";"SVM";"Sans blocs"
