"","Probabilite","Species"
"215",0.743977844715118,"Faidherbia albida"
"216",0.829226613044739,"Faidherbia albida"
"217",0.806159317493439,"Faidherbia albida"
"218",0.85284835100174,"Faidherbia albida"
"219",0.887656688690186,"Faidherbia albida"
"220",0.930149853229523,"Faidherbia albida"
"221",0.935455739498138,"Faidherbia albida"
"222",0.915546536445618,"Faidherbia albida"
"223",0.912901699542999,"Faidherbia albida"
"224",0.936919152736664,"Faidherbia albida"
"225",0.919647634029388,"Faidherbia albida"
"226",0.89070075750351,"Faidherbia albida"
"227",0.745616555213928,"Faidherbia albida"
"228",0.85264265537262,"Faidherbia albida"
"229",0.736231803894043,"Faidherbia albida"
"230",0.712652623653412,"Faidherbia albida"
"231",0.683176159858704,"Faidherbia albida"
"232",0.628004372119904,"Faidherbia albida"
"233",0.637992560863495,"Faidherbia albida"
"234",0.669272363185883,"Faidherbia albida"
"235",0.629463791847229,"Faidherbia albida"
"236",0.644874453544617,"Faidherbia albida"
"237",0.688271164894104,"Faidherbia albida"
"238",0.768257319927216,"Faidherbia albida"
"239",0.787310361862183,"Faidherbia albida"
"240",0.741858422756195,"Faidherbia albida"
"241",0.679085910320282,"Faidherbia albida"
"242",0.627697467803955,"Faidherbia albida"
"243",0.59686279296875,"Faidherbia albida"
"244",0.633881211280823,"Faidherbia albida"
"245",0.569906115531921,"Faidherbia albida"
"246",0.589074313640594,"Faidherbia albida"
"247",0.575466692447662,"Faidherbia albida"
"248",0.584929466247559,"Faidherbia albida"
"249",0.527127861976624,"Faidherbia albida"
"250",0.538546800613403,"Faidherbia albida"
"251",0.586773931980133,"Faidherbia albida"
"252",0.584479451179504,"Faidherbia albida"
"253",0.645009338855743,"Faidherbia albida"
"254",0.675985515117645,"Faidherbia albida"
"255",0.663482189178467,"Faidherbia albida"
"256",0.648388266563416,"Faidherbia albida"
"257",0.621044397354126,"Faidherbia albida"
"258",0.588864028453827,"Faidherbia albida"
"259",0.585537075996399,"Faidherbia albida"
"260",0.599979519844055,"Faidherbia albida"
"261",0.611381232738495,"Faidherbia albida"
"262",0.619036376476288,"Faidherbia albida"
"263",0.619857609272003,"Faidherbia albida"
"264",0.599829018115997,"Faidherbia albida"
"265",0.607573330402374,"Faidherbia albida"
"266",0.631316900253296,"Faidherbia albida"
"267",0.637826800346375,"Faidherbia albida"
"268",0.65367978811264,"Faidherbia albida"
"269",0.624425292015076,"Faidherbia albida"
"270",0.600212395191193,"Faidherbia albida"
"271",0.602846682071686,"Faidherbia albida"
"272",0.575726807117462,"Faidherbia albida"
"273",0.589837610721588,"Faidherbia albida"
"274",0.569505512714386,"Faidherbia albida"
"275",0.578899741172791,"Faidherbia albida"
"276",0.535566389560699,"Faidherbia albida"
"277",0.536372363567352,"Faidherbia albida"
"278",0.58662211894989,"Faidherbia albida"
"279",0.585740506649017,"Faidherbia albida"
"280",0.646482527256012,"Faidherbia albida"
"281",0.746989727020264,"Faidherbia albida"
"282",0.772935330867767,"Faidherbia albida"
"283",0.822164475917816,"Faidherbia albida"
"284",0.845541298389435,"Faidherbia albida"
"285",0.856198310852051,"Faidherbia albida"
"286",0.874038398265839,"Faidherbia albida"
"287",0.885692596435547,"Faidherbia albida"
"288",0.889043271541595,"Faidherbia albida"
"289",0.860250055789948,"Faidherbia albida"
"290",0.699007987976074,"Faidherbia albida"
"291",0.731729567050934,"Faidherbia albida"
"292",0.6575026512146,"Faidherbia albida"
"293",0.600907385349274,"Faidherbia albida"
"294",0.540033042430878,"Faidherbia albida"
"295",0.572585165500641,"Faidherbia albida"
"296",0.613466739654541,"Faidherbia albida"
"297",0.687869369983673,"Faidherbia albida"
"298",0.712646722793579,"Faidherbia albida"
"299",0.738820135593414,"Faidherbia albida"
"300",0.770150184631348,"Faidherbia albida"
"301",0.798850834369659,"Faidherbia albida"
"302",0.805326044559479,"Faidherbia albida"
"303",0.820136070251465,"Faidherbia albida"
"304",0.786630213260651,"Faidherbia albida"
"305",0.71321028470993,"Faidherbia albida"
"306",0.642751455307007,"Faidherbia albida"
"307",0.621590793132782,"Faidherbia albida"
"308",0.61471152305603,"Faidherbia albida"
"309",0.610199987888336,"Faidherbia albida"
"310",0.622098505496979,"Faidherbia albida"
"311",0.647530138492584,"Faidherbia albida"
"312",0.648816883563995,"Faidherbia albida"
"313",0.663616120815277,"Faidherbia albida"
"314",0.640732824802399,"Faidherbia albida"
"315",0.624612748622894,"Faidherbia albida"
"316",0.619855165481567,"Faidherbia albida"
"317",0.596376121044159,"Faidherbia albida"
"318",0.585238099098206,"Faidherbia albida"
"319",0.602995455265045,"Faidherbia albida"
"320",0.652637600898743,"Faidherbia albida"
"321",0.683849096298218,"Faidherbia albida"
"322",0.716014504432678,"Faidherbia albida"
"323",0.736908793449402,"Faidherbia albida"
"324",0.692952394485474,"Faidherbia albida"
"325",0.670539379119873,"Faidherbia albida"
"326",0.702401101589203,"Faidherbia albida"
"327",0.758567929267883,"Faidherbia albida"
"328",0.747149229049683,"Faidherbia albida"
"329",0.753519713878632,"Faidherbia albida"
"330",0.801781535148621,"Faidherbia albida"
"331",0.841457009315491,"Faidherbia albida"
"332",0.920109868049622,"Faidherbia albida"
"333",0.898134112358093,"Faidherbia albida"
"334",0.872671365737915,"Faidherbia albida"
"335",0.864028096199036,"Faidherbia albida"
"336",0.911556303501129,"Faidherbia albida"
"337",0.907585680484772,"Faidherbia albida"
"338",0.931237041950226,"Faidherbia albida"
"339",0.910150051116943,"Faidherbia albida"
"340",0.903603076934814,"Faidherbia albida"
"341",0.888321161270142,"Faidherbia albida"
"342",0.85447484254837,"Faidherbia albida"
"343",0.641784250736237,"Faidherbia albida"
"344",0.67251580953598,"Faidherbia albida"
"345",0.703856110572815,"Faidherbia albida"
"346",0.602182924747467,"Faidherbia albida"
"347",0.591763734817505,"Faidherbia albida"
"348",0.591619610786438,"Faidherbia albida"
"349",0.617644727230072,"Faidherbia albida"
"350",0.575404763221741,"Faidherbia albida"
"351",0.612873256206512,"Faidherbia albida"
"352",0.678336441516876,"Faidherbia albida"
"353",0.691705882549286,"Faidherbia albida"
"354",0.718810319900513,"Faidherbia albida"
"355",0.729856610298157,"Faidherbia albida"
"356",0.70903068780899,"Faidherbia albida"
"357",0.660929262638092,"Faidherbia albida"
"358",0.584057331085205,"Faidherbia albida"
"359",0.507783353328705,"Faidherbia albida"
"360",0.591657221317291,"Faidherbia albida"
"361",0.586193382740021,"Faidherbia albida"
"362",0.551760971546173,"Faidherbia albida"
"363",0.571893453598022,"Faidherbia albida"
"364",0.532804489135742,"Faidherbia albida"
"365",0.54706597328186,"Faidherbia albida"
"366",0.578856825828552,"Faidherbia albida"
"367",0.65496039390564,"Faidherbia albida"
"368",0.687771797180176,"Faidherbia albida"
"369",0.652171492576599,"Faidherbia albida"
"370",0.653135597705841,"Faidherbia albida"
"371",0.618237316608429,"Faidherbia albida"
"372",0.557262182235718,"Faidherbia albida"
"373",0.553862631320953,"Faidherbia albida"
"374",0.601748585700989,"Faidherbia albida"
"375",0.632404327392578,"Faidherbia albida"
"376",0.634065806865692,"Faidherbia albida"
"377",0.636091470718384,"Faidherbia albida"
"378",0.611802339553833,"Faidherbia albida"
"379",0.609219431877136,"Faidherbia albida"
"380",0.603600680828094,"Faidherbia albida"
"381",0.631991386413574,"Faidherbia albida"
"382",0.635444760322571,"Faidherbia albida"
"383",0.608402907848358,"Faidherbia albida"
"384",0.632391631603241,"Faidherbia albida"
"385",0.609421491622925,"Faidherbia albida"
"386",0.58518248796463,"Faidherbia albida"
"387",0.592235445976257,"Faidherbia albida"
"388",0.567118227481842,"Faidherbia albida"
"389",0.427098035812378,"Faidherbia albida"
"390",0.592614829540253,"Faidherbia albida"
"391",0.660172462463379,"Faidherbia albida"
"392",0.694926500320435,"Faidherbia albida"
"393",0.633424818515778,"Faidherbia albida"
"394",0.655244469642639,"Faidherbia albida"
"395",0.749567925930023,"Faidherbia albida"
"396",0.761662065982819,"Faidherbia albida"
"397",0.827750444412231,"Faidherbia albida"
"398",0.854427456855774,"Faidherbia albida"
"399",0.861126184463501,"Faidherbia albida"
"400",0.838356077671051,"Faidherbia albida"
"401",0.83185613155365,"Faidherbia albida"
"402",0.811305284500122,"Faidherbia albida"
"403",0.851205110549927,"Faidherbia albida"
"404",0.723612427711487,"Faidherbia albida"
"405",0.731460332870483,"Faidherbia albida"
"406",0.682544708251953,"Faidherbia albida"
"407",0.613639295101166,"Faidherbia albida"
"408",0.555277168750763,"Faidherbia albida"
"409",0.572407960891724,"Faidherbia albida"
"410",0.605006635189056,"Faidherbia albida"
"411",0.616067111492157,"Faidherbia albida"
"412",0.631420791149139,"Faidherbia albida"
"413",0.735279619693756,"Faidherbia albida"
"414",0.771925687789917,"Faidherbia albida"
"415",0.811470806598663,"Faidherbia albida"
"416",0.804006814956665,"Faidherbia albida"
"417",0.786458551883698,"Faidherbia albida"
"418",0.739997804164886,"Faidherbia albida"
"419",0.739153861999512,"Faidherbia albida"
"420",0.661372721195221,"Faidherbia albida"
"421",0.592780232429504,"Faidherbia albida"
"422",0.554033160209656,"Faidherbia albida"
"423",0.594270408153534,"Faidherbia albida"
"424",0.584587574005127,"Faidherbia albida"
"425",0.603819608688354,"Faidherbia albida"
"426",0.6393803358078,"Faidherbia albida"
"427",0.625768065452576,"Faidherbia albida"
"428",0.601800799369812,"Faidherbia albida"
"429",0.617912590503693,"Faidherbia albida"
"430",0.627464830875397,"Faidherbia albida"
"431",0.63013756275177,"Faidherbia albida"
"432",0.644672632217407,"Faidherbia albida"
"433",0.641713261604309,"Faidherbia albida"
"434",0.680734217166901,"Faidherbia albida"
"435",0.692266643047333,"Faidherbia albida"
"436",0.729476153850555,"Faidherbia albida"
"437",0.728831052780151,"Faidherbia albida"
"438",0.71370929479599,"Faidherbia albida"
"439",0.692915737628937,"Faidherbia albida"
"440",0.707774043083191,"Faidherbia albida"
"441",0.705676317214966,"Faidherbia albida"
"442",0.699622392654419,"Faidherbia albida"
"443",0.758610665798187,"Faidherbia albida"
"444",0.817539691925049,"Faidherbia albida"
"445",0.846892774105072,"Faidherbia albida"
"446",0.88491415977478,"Faidherbia albida"
"447",0.846861779689789,"Faidherbia albida"
"448",0.839485228061676,"Faidherbia albida"
"449",0.830505967140198,"Faidherbia albida"
"450",0.871826410293579,"Faidherbia albida"
"451",0.872008562088013,"Faidherbia albida"
"452",0.911881923675537,"Faidherbia albida"
"453",0.864122331142426,"Faidherbia albida"
"454",0.883883774280548,"Faidherbia albida"
"455",0.878636598587036,"Faidherbia albida"
"456",0.85600483417511,"Faidherbia albida"
"457",0.695987641811371,"Faidherbia albida"
"458",0.667219579219818,"Faidherbia albida"
"459",0.653928518295288,"Faidherbia albida"
"460",0.600865066051483,"Faidherbia albida"
"461",0.560683608055115,"Faidherbia albida"
"462",0.578912138938904,"Faidherbia albida"
"463",0.650497436523438,"Faidherbia albida"
"464",0.618515908718109,"Faidherbia albida"
"465",0.682295203208923,"Faidherbia albida"
"466",0.636686742305756,"Faidherbia albida"
"467",0.627615630626678,"Faidherbia albida"
"468",0.748997509479523,"Faidherbia albida"
"469",0.774052739143372,"Faidherbia albida"
"470",0.792051434516907,"Faidherbia albida"
"471",0.757869482040405,"Faidherbia albida"
"472",0.651262640953064,"Faidherbia albida"
"473",0.608210265636444,"Faidherbia albida"
"474",0.581730842590332,"Faidherbia albida"
"475",0.564952909946442,"Faidherbia albida"
"476",0.551677286624908,"Faidherbia albida"
"477",0.569861590862274,"Faidherbia albida"
"478",0.577925086021423,"Faidherbia albida"
"479",0.537899792194366,"Faidherbia albida"
"480",0.524509131908417,"Faidherbia albida"
"481",0.581905782222748,"Faidherbia albida"
"482",0.629394054412842,"Faidherbia albida"
"483",0.62288236618042,"Faidherbia albida"
"484",0.635742127895355,"Faidherbia albida"
"485",0.597202003002167,"Faidherbia albida"
"486",0.58455491065979,"Faidherbia albida"
"487",0.569397389888763,"Faidherbia albida"
"488",0.590207159519196,"Faidherbia albida"
"489",0.616108596324921,"Faidherbia albida"
"490",0.636714220046997,"Faidherbia albida"
"491",0.625932812690735,"Faidherbia albida"
"492",0.622204899787903,"Faidherbia albida"
"493",0.670917272567749,"Faidherbia albida"
"494",0.664994120597839,"Faidherbia albida"
"495",0.640645682811737,"Faidherbia albida"
"496",0.621025264263153,"Faidherbia albida"
"497",0.657687664031982,"Faidherbia albida"
"498",0.660678029060364,"Faidherbia albida"
"499",0.646042227745056,"Faidherbia albida"
"500",0.582992255687714,"Faidherbia albida"
"501",0.600038886070251,"Faidherbia albida"
"502",0.614816248416901,"Faidherbia albida"
"503",0.598552286624908,"Faidherbia albida"
"504",0.634722173213959,"Faidherbia albida"
"505",0.668076872825623,"Faidherbia albida"
"506",0.652083575725555,"Faidherbia albida"
"507",0.619771778583527,"Faidherbia albida"
"508",0.658579707145691,"Faidherbia albida"
"509",0.769685924053192,"Faidherbia albida"
"510",0.782738983631134,"Faidherbia albida"
"511",0.789827942848206,"Faidherbia albida"
"512",0.815466165542603,"Faidherbia albida"
"513",0.840586423873901,"Faidherbia albida"
"514",0.789803504943848,"Faidherbia albida"
"515",0.709232985973358,"Faidherbia albida"
"516",0.687483668327332,"Faidherbia albida"
"517",0.723527848720551,"Faidherbia albida"
"518",0.627772927284241,"Faidherbia albida"
"519",0.646053493022919,"Faidherbia albida"
"520",0.609462380409241,"Faidherbia albida"
"521",0.564241826534271,"Faidherbia albida"
"522",0.583967506885529,"Faidherbia albida"
"523",0.706581354141235,"Faidherbia albida"
"524",0.701374471187592,"Faidherbia albida"
"525",0.68457293510437,"Faidherbia albida"
"526",0.736342370510101,"Faidherbia albida"
"527",0.759833514690399,"Faidherbia albida"
"528",0.741562843322754,"Faidherbia albida"
"529",0.746472537517548,"Faidherbia albida"
"530",0.734929740428925,"Faidherbia albida"
"531",0.720024108886719,"Faidherbia albida"
"532",0.664490103721619,"Faidherbia albida"
"533",0.65181177854538,"Faidherbia albida"
"534",0.632515251636505,"Faidherbia albida"
"535",0.598398506641388,"Faidherbia albida"
"536",0.609340667724609,"Faidherbia albida"
"537",0.627629339694977,"Faidherbia albida"
"538",0.650929629802704,"Faidherbia albida"
"539",0.658242106437683,"Faidherbia albida"
"540",0.635047018527985,"Faidherbia albida"
"541",0.5849649310112,"Faidherbia albida"
"542",0.581461310386658,"Faidherbia albida"
"543",0.636454045772552,"Faidherbia albida"
"544",0.63798576593399,"Faidherbia albida"
"545",0.645413875579834,"Faidherbia albida"
"546",0.651070833206177,"Faidherbia albida"
"547",0.650131106376648,"Faidherbia albida"
"548",0.677899241447449,"Faidherbia albida"
"549",0.713675022125244,"Faidherbia albida"
"550",0.693590402603149,"Faidherbia albida"
"551",0.656827330589294,"Faidherbia albida"
"552",0.663609862327576,"Faidherbia albida"
"553",0.705642938613892,"Faidherbia albida"
"554",0.727579176425934,"Faidherbia albida"
"555",0.726331949234009,"Faidherbia albida"
"556",0.743940353393555,"Faidherbia albida"
"557",0.798110127449036,"Faidherbia albida"
"558",0.863914370536804,"Faidherbia albida"
"559",0.874261319637299,"Faidherbia albida"
"560",0.857463479042053,"Faidherbia albida"
"561",0.841916859149933,"Faidherbia albida"
"562",0.826996862888336,"Faidherbia albida"
"563",0.784113347530365,"Faidherbia albida"
"564",0.823873519897461,"Faidherbia albida"
"565",0.858476102352142,"Faidherbia albida"
"566",0.860654413700104,"Faidherbia albida"
"567",0.83170473575592,"Faidherbia albida"
"568",0.792911410331726,"Faidherbia albida"
"569",0.801143288612366,"Faidherbia albida"
"570",0.817696988582611,"Faidherbia albida"
"571",0.721590518951416,"Faidherbia albida"
"572",0.670568466186523,"Faidherbia albida"
"573",0.629271447658539,"Faidherbia albida"
"574",0.620609164237976,"Faidherbia albida"
"575",0.596166729927063,"Faidherbia albida"
"576",0.705397367477417,"Faidherbia albida"
"577",0.722190499305725,"Faidherbia albida"
"578",0.70418244600296,"Faidherbia albida"
"579",0.725127160549164,"Faidherbia albida"
"580",0.671879589557648,"Faidherbia albida"
"581",0.656261086463928,"Faidherbia albida"
"582",0.760915517807007,"Faidherbia albida"
"583",0.787939608097076,"Faidherbia albida"
"584",0.798001706600189,"Faidherbia albida"
"585",0.745438694953918,"Faidherbia albida"
"586",0.661454021930695,"Faidherbia albida"
"587",0.664247930049896,"Faidherbia albida"
"588",0.606501638889313,"Faidherbia albida"
"589",0.579736530780792,"Faidherbia albida"
"590",0.56220018863678,"Faidherbia albida"
"591",0.569933712482452,"Faidherbia albida"
"592",0.582825720310211,"Faidherbia albida"
"593",0.50761342048645,"Faidherbia albida"
"594",0.492298066616058,"Faidherbia albida"
"595",0.537998020648956,"Faidherbia albida"
"596",0.550673365592957,"Faidherbia albida"
"597",0.570018827915192,"Faidherbia albida"
"598",0.634953618049622,"Faidherbia albida"
"599",0.605171144008636,"Faidherbia albida"
"600",0.577145636081696,"Faidherbia albida"
"601",0.582135617733002,"Faidherbia albida"
"602",0.587152004241943,"Faidherbia albida"
"603",0.609741926193237,"Faidherbia albida"
"604",0.6309574842453,"Faidherbia albida"
"605",0.62534898519516,"Faidherbia albida"
"606",0.677240967750549,"Faidherbia albida"
"607",0.689500331878662,"Faidherbia albida"
"608",0.661167502403259,"Faidherbia albida"
"609",0.63530308008194,"Faidherbia albida"
"610",0.652207434177399,"Faidherbia albida"
"611",0.706538200378418,"Faidherbia albida"
"612",0.681409537792206,"Faidherbia albida"
"613",0.644909262657166,"Faidherbia albida"
"614",0.647296369075775,"Faidherbia albida"
"615",0.621314108371735,"Faidherbia albida"
"616",0.652243673801422,"Faidherbia albida"
"617",0.639223635196686,"Faidherbia albida"
"618",0.632520377635956,"Faidherbia albida"
"619",0.667760968208313,"Faidherbia albida"
"620",0.665306448936462,"Faidherbia albida"
"621",0.64083343744278,"Faidherbia albida"
"622",0.639692902565002,"Faidherbia albida"
"623",0.775494515895844,"Faidherbia albida"
"624",0.802042126655579,"Faidherbia albida"
"625",0.792241871356964,"Faidherbia albida"
"626",0.728925228118896,"Faidherbia albida"
"627",0.781110227108002,"Faidherbia albida"
"628",0.786260426044464,"Faidherbia albida"
"629",0.703668832778931,"Faidherbia albida"
